"sum","parliament_number","pid","mid"
"55",36,6037,2601
"75",35,2993,3061
"138",37,4835,2639
"140",36,5558,3094
"149",40,183,490
"198",38,20,1349
"227",35,6037,3240
"264",36,203,3187
"285",36,5412,3062
"287",38,3229,1624
"318",40,399,320
"398",35,8060,3318
"640",38,277,1267
"860",38,238,3672
"877",38,3132,1290
"877",37,3845,2729
"886",37,5282,1828
"922",37,4332,3133
"1350",36,3820,2720
"1420",37,3532,1731
"1424",38,176,3250
"1483",38,395,1543
"1530",38,3425,1392
"1591",38,127,1389
"1954",35,4671,3207
"2036",37,2728,3655
"2316",38,70,1735
"2319",40,8361,4031
"2330",40,77,1268
"2439",39,548,686
"2448",36,4671,3207
"2491",38,3097,1280
"2495",38,308,1320
"2589",37,4957,2665
"2641",38,61,1369
"2721",40,174,1286
"2774",38,190,1327
"2818",36,4957,2665
"2864",35,6989,3113
"2880",36,4339,3682
"3024",39,183,490
"3200",37,4646,3201
"3228",36,70,3234
"3240",37,35,1700
"3264",35,5831,3150
"3324",36,35,3202
"3485",38,27,1438
"3615",35,150,3225
"3655",37,4255,2513
"3784",38,83,1482
"3835",37,127,3197
"3939",37,6106,2616
"3964",38,232,1506
"3980",37,4671,3207
"4012",37,2584,3237
"4055",38,226,1811
"4063",35,50,3681
"4157",36,5282,2731
"4206",38,50,3681
"4212",38,2522,3220
"4275",38,3355,3174
"4400",35,4339,3682
"4541",37,4655,3203
"4604",37,3363,1656
"4654",37,219,3654
"4729",38,3383,3180
"4824",36,20,2556
"5020",38,2399,1380
"5095",36,62,3097
"5096",41,8379,4038
"5134",37,697,3640
"5143",38,194,3251
"5214",36,238,3672
"5222",37,5177,1807
"5352",38,35,1700
"5390",38,224,3303
"5397",35,140,3127
"5518",35,7776,3258
"5740",37,5161,3304
"5823",36,150,3225
"5888",35,4655,3203
"5938",38,259,2524
"5979",36,4830,2638
"5993",36,106,2592
"6036",38,2993,1247
"6066",37,264,3650
"6118",36,72,3673
"6189",37,3925,1549
"6240",36,4835,2639
"6568",38,62,1285
"6631",35,4646,3201
"6680",38,47,2607
"6689",38,2293,1346
"6752",36,6313,3268
"6906",37,3229,1624
"6913",36,260,3671
"6917",38,53,3677
"6938",41,217,528
"6953",38,2829,1502
"7090",41,245,552
"7153",39,549,722
"7245",38,56,1455
"7308",35,8034,3314
"7336",35,5282,3328
"7350",41,9276,4172
"7549",36,4697,3160
"7579",37,3709,3639
"7579",38,248,1474
"7614",41,7,4121
"7625",40,8353,4033
"7665",39,61,1369
"7673",35,7665,3236
"7699",40,559,941
"7818",40,459,604
"7845",38,118,3165
"7908",35,7089,3135
"7953",35,6633,3059
"7965",36,5024,2680
"7985",38,257,1412
"8046",38,281,1401
"8227",37,70,1735
"8262",37,5235,2722
"8305",40,58,368
"8369",41,614,1229
"8414",36,184,3232
"8417",37,2698,1775
"8428",38,3518,3228
"8462",37,50,3681
"8504",36,5472,3074
"8641",38,180,1348
"8732",39,180,1348
"8786",38,249,1399
"8805",38,120,1246
"8879",38,149,2538
"8932",38,218,1600
"8965",36,5767,3131
"8985",37,106,2592
"8992",35,176,3250
"9098",36,3574,3675
"9099",37,3500,2622
"9120",40,180,1348
"9278",37,184,3232
"9355",35,5781,3136
"9358",36,2993,3061
"9440",36,118,3165
"9492",36,4655,3203
"9702",36,205,2553
"9781",37,3425,2596
"9804",38,265,1324
"9853",36,180,3153
"9905",38,156,1517
"9911",36,4425,2555
"9923",40,307,1529
"10031",36,127,3197
"10138",39,35,1700
"10145",38,100,1645
"10152",38,3415,1388
"10194",36,3410,2594
"10242",37,224,3303
"10270",38,115,1495
"10286",38,2584,3237
"10312",36,3500,2622
"10369",38,12,1491
"10463",39,106,2592
"10562",38,245,1239
"10639",38,3164,1298
"10719",36,81,3693
"10793",39,70,690
"10875",38,46,1383
"10958",37,20,2556
"10962",39,550,829
"10962",41,2301,4072
"10964",36,4646,3201
"11087",38,2219,1627
"11204",38,299,2625
"11233",40,7,1242
"11241",38,68,2668
"11299",37,3383,3180
"11330",35,7507,3211
"11367",37,1435,2571
"11517",38,219,3654
"11580",36,4332,3133
"11665",35,6014,3196
"11668",37,61,3176
"11713",37,89,3686
"11811",37,274,3184
"11825",38,88,1350
"11837",37,27,2642
"11856",36,4589,3190
"11943",35,2584,3237
"12092",38,140,3127
"12097",38,3242,1323
"12214",37,3242,3651
"12233",38,7,1242
"12343",36,6410,3299
"12348",36,6237,3244
"12366",35,70,3234
"12372",38,48,1524
"12386",35,194,3251
"12458",37,1698,3229
"12504",37,140,3127
"12519",38,1698,3229
"12558",38,227,3242
"12579",38,3028,1260
"12585",36,140,3127
"12634",40,127,1389
"12764",38,282,1508
"12791",38,91,1328
"12818",39,187,3285
"12858",36,4118,3679
"12896",37,2599,2646
"12940",41,9294,4180
"12943",38,183,1302
"13032",37,4697,1709
"13095",40,406,342
"13106",38,274,3184
"13275",38,294,1377
"13320",38,157,1415
"13346",36,2584,3237
"13405",37,4830,2638
"13427",41,411,358
"13436",38,2599,1441
"13449",36,135,3670
"13533",38,242,1640
"13599",38,10,1460
"13696",40,615,978
"13749",38,3410,2594
"13958",37,5111,1795
"13973",38,2241,3139
"13994",35,7780,3259
"14008",38,1757,3688
"14037",35,76,3683
"14116",38,106,2592
"14147",37,2993,3061
"14221",41,165,1436
"14239",40,605,1190
"14339",38,184,3232
"14398",37,4823,3233
"14482",41,8675,4096
"14488",36,3905,3694
"14541",38,3613,1458
"14564",36,6510,2734
"14676",35,7373,3191
"14780",35,5024,3276
"14783",38,3127,1289
"14866",36,3344,2569
"15135",40,163,1429
"15141",37,4339,3682
"15188",40,602,967
"15260",38,153,1393
"15288",35,4589,3190
"15339",38,36,1469
"15526",38,139,1343
"15528",35,7803,3266
"15568",37,3820,2720
"15586",38,41,1824
"15713",38,147,1431
"15752",37,100,1645
"15767",40,12,1491
"15826",35,7278,3173
"15860",38,3465,2611
"15902",38,3608,2662
"15931",38,3899,1259
"15938",36,1757,3688
"16013",37,2733,3646
"16090",37,227,3242
"16129",38,55,1403
"16155",39,278,892
"16166",37,3415,2589
"16167",37,194,3251
"16221",38,240,1358
"16248",39,232,541
"16249",36,3229,2528
"16317",37,2313,3159
"16337",37,115,3645
"16426",36,3383,3180
"16460",38,241,2587
"16565",38,128,1511
"16595",38,22,1281
"16604",35,20,3154
"16619",35,4237,3108
"16628",37,259,2524
"16636",37,4641,1698
"16638",38,280,2588
"16672",38,38,1468
"16711",37,2219,1627
"16757",38,250,1797
"16790",35,5700,3111
"16828",39,93,1445
"16847",38,105,1485
"16876",35,6054,3204
"17012",37,298,1665
"17023",37,3608,2662
"17056",37,180,1652
"17085",37,47,2607
"17219",41,9285,4170
"17228",38,255,1480
"17237",35,89,3686
"17285",40,232,541
"17286",41,215,526
"17470",38,2780,1490
"17584",38,211,1616
"17619",38,191,1387
"17672",35,2313,3159
"17816",40,411,358
"17828",38,202,1368
"17828",38,52,3222
"17906",36,6256,3248
"17912",41,9299,4179
"17954",36,299,2625
"17976",38,178,1409
"17989",36,12,3270
"18007",39,547,897
"18035",37,118,3165
"18096",38,1010,3158
"18219",38,24,2631
"18316",39,160,1499
"18387",36,2313,3159
"18408",36,3363,3157
"18427",38,98,1294
"18593",38,2733,1478
"18713",38,237,1362
"18720",38,3033,1263
"18744",37,4533,3179
"18755",35,1757,3688
"18776",36,149,2538
"18827",36,3371,3238
"18856",38,3071,1273
"18877",35,21,3687
"18885",37,5024,2680
"18907",37,3377,3181
"18916",38,271,2695
"19059",36,274,3184
"19062",38,193,1405
"19131",38,2773,1488
"19223",36,3608,2662
"19233",38,3454,1404
"19255",38,170,1498
"19287",38,79,1317
"19289",38,297,1521
"19398",35,3532,3231
"19401",38,2373,1372
"19477",39,127,1389
"19490",38,247,2732
"19557",40,93,1445
"19560",39,227,3242
"19586",37,257,3643
"19589",38,151,1339
"19596",38,131,1238
"19750",38,138,1272
"19798",35,47,3205
"19933",37,3736,1777
"19982",35,4252,3112
"20002",39,545,780
"20002",35,1698,3229
"20159",36,4255,2513
"20166",38,205,2553
"20223",36,232,3308
"20281",37,4136,1590
"20287",37,1738,2659
"20296",38,164,1514
"20301",38,168,1453
"20303",37,4713,3212
"20304",39,12,1491
"20308",40,126,1271
"20360",38,260,3671
"20563",40,464,536
"20594",40,2,1243
"20595",36,4887,2651
"20669",38,2728,1476
"20788",38,31,1471
"20798",37,3344,2569
"20846",38,16,1391
"20874",36,5178,2709
"20927",38,1262,1407
"21015",36,3402,2591
"21029",36,197,2618
"21058",38,296,1538
"21098",35,2379,3192
"21111",38,278,892
"21115",38,181,1439
"21116",38,2775,1489
"21194",38,78,1331
"21242",38,3849,1827
"21250",38,101,1525
"21313",41,8692,4036
"21355",40,545,780
"21452",38,129,1426
"21503",37,2888,1821
"21512",36,2599,2646
"21548",38,230,3273
"21692",37,3204,2517
"21723",37,2379,2632
"21725",37,1757,3688
"21767",37,205,2553
"21885",38,3160,3106
"21949",35,118,3165
"22006",36,4195,2501
"22080",38,64,1440
"22082",36,6324,3271
"22108",35,4554,3183
"22234",38,273,1344
"22251",38,87,1371
"22282",38,291,1299
"22330",35,8021,3312
"22412",38,3648,1467
"22420",35,7344,3186
"22436",36,6403,3296
"22638",38,2677,2670
"22715",36,3415,2589
"22763",35,5764,3126
"22797",39,551,854
"22870",40,89,3686
"22898",38,199,1492
"22908",39,190,1327
"22922",38,286,1360
"23031",38,3017,1256
"23150",37,3656,1765
"23198",36,27,2642
"23336",39,20,1349
"23362",36,2293,2552
"23374",38,2064,1278
"23505",35,3383,3180
"23520",36,5142,3301
"23554",35,180,3153
"23668",38,264,3650
"23731",35,7070,3129
"23769",37,166,1619
"23872",37,5057,1784
"23901",40,566,1152
"23972",39,266,1537
"23981",36,2367,2577
"24027",37,3325,1659
"24028",41,8562,4054
"24040",37,4528,2578
"24059",35,35,3202
"24069",35,274,3184
"24117",36,4554,3183
"24144",37,4195,2501
"24179",35,3425,3199
"24258",35,4830,3235
"24333",37,190,1629
"24336",37,12,3270
"24418",38,2923,1530
"24511",37,4983,3267
"24528",38,163,1429
"24615",39,116,423
"24761",37,3028,1567
"24855",39,62,1285
"24881",35,4835,3161
"24986",38,143,1235
"25022",36,3337,2566
"25053",39,308,1320
"25074",41,257,564
"25109",35,7041,3122
"25127",35,5057,3684
"25206",38,150,3225
"25255",37,232,1759
"25265",39,77,1268
"25345",39,27,1438
"25397",35,4390,3149
"25481",38,216,1236
"25535",38,19,1532
"25571",38,220,1305
"25645",40,122,1353
"25647",38,2820,1500
"25667",40,207,517
"25678",35,5399,3058
"25718",38,272,1351
"25789",37,2502,3214
"25814",35,1951,3060
"25853",36,4823,3233
"26006",38,2290,1345
"26012",39,247,2732
"26228",40,250,557
"26300",37,3355,3174
"26395",40,285,592
"26410",36,6054,3204
"26424",39,399,320
"26458",35,6313,3268
"26464",37,4425,2555
"26487",37,5117,2698
"26488",38,5,1397
"26489",35,4425,3164
"26529",38,14,3317
"26558",35,8137,3334
"26566",37,3518,3228
"26596",37,4324,1628
"26732",38,305,1251
"26808",41,296,1538
"26817",38,21,3687
"26825",37,149,2538
"26839",38,89,3686
"26895",38,306,1364
"26902",40,215,526
"26938",38,159,1479
"26968",39,464,536
"27046",35,5673,3107
"27048",37,238,3672
"27071",37,4554,3183
"27087",38,93,1445
"27097",36,4713,3212
"27121",39,271,577
"27141",37,4206,2503
"27146",36,6481,2727
"27222",36,298,3167
"27339",36,1435,2571
"27393",41,232,541
"27445",36,3523,2629
"27478",40,176,3250
"27584",36,6106,2616
"27646",38,142,1252
"27715",35,3344,3168
"27881",38,270,1244
"27925",35,3337,3241
"27971",38,144,2702
"28016",35,2820,3685
"28027",36,6264,3252
"28092",35,6539,3338
"28171",36,194,3251
"28215",35,7064,3128
"28251",38,148,1269
"28334",35,62,3097
"28362",39,176,3250
"28604",41,404,337
"28775",35,2182,3117
"28778",36,4533,3179
"28853",35,6475,3322
"28959",37,3771,1805
"29048",40,8337,3700
"29103",38,2763,1486
"29103",40,59,1253
"29157",38,3325,1659
"29175",36,2502,3214
"29347",40,115,1495
"29356",35,4332,3133
"29416",35,4528,3178
"29430",37,150,3225
"29440",35,6655,3063
"29511",38,37,1432
"29550",41,9271,4164
"29588",40,6,1250
"29635",41,43,1541
"29645",36,5235,2722
"29688",38,298,1361
"29707",37,176,3250
"29781",38,136,1288
"29823",36,5214,2716
"29839",39,153,769
"29867",36,4892,2652
"29923",38,58,1337
"29936",38,217,1356
"29960",35,2367,3177
"30036",38,2789,1494
"30060",37,4887,2651
"30061",37,3523,2629
"30174",36,2944,2742
"30189",38,59,1253
"30218",35,7354,3188
"30253",39,58,368
"30262",35,5161,3304
"30315",37,280,2588
"30375",36,53,3677
"30403",37,4925,2660
"30403",38,256,1535
"30427",35,205,3152
"30438",37,226,1811
"30495",40,104,414
"30636",36,2522,3220
"30714",37,52,3222
"30761",35,12,3270
"30819",35,5472,3074
"30888",36,52,3222
"30926",35,3371,3238
"30933",36,3882,3674
"30960",38,266,1537
"30964",38,285,1321
"30969",38,122,1353
"30972",41,163,1429
"31057",37,211,1616
"31082",38,1,1274
"31135",36,176,3250
"31184",36,190,2532
"31409",38,2,1243
"31521",38,288,1749
"31525",36,2241,3139
"31625",36,5117,2698
"31635",35,247,3689
"31666",36,271,2695
"31680",36,4528,2578
"31693",38,18,3194
"31734",35,4892,3247
"31848",40,224,3303
"31940",38,200,1254
"31944",36,5161,3304
"31952",38,175,1276
"31956",38,207,1316
"31957",40,427,420
"32005",39,142,1252
"32022",35,52,3222
"32048",41,307,1529
"32068",38,3831,1520
"32100",40,548,686
"32123",35,6548,3339
"32169",38,102,1370
"32201",38,82,1484
"32245",35,7097,3137
"32281",38,126,1271
"32330",36,273,2551
"32535",41,120,1246
"32611",36,4206,2503
"32654",36,109,3102
"32744",36,3532,3231
"32797",38,4718,2614
"32825",37,271,2695
"32848",36,6281,3257
"32892",39,126,1271
"32911",37,1010,3158
"33130",38,103,1533
"33151",37,4566,3185
"33217",37,283,1646
"33339",38,215,1354
"33410",39,194,3251
"33437",38,152,1240
"33461",36,3355,3174
"33555",35,4697,3160
"33566",38,116,3311
"33588",36,2888,1821
"33646",37,68,2668
"33660",35,4713,3212
"33754",41,8538,4050
"33843",41,9263,4162
"33857",36,4925,2660
"33869",38,109,3102
"33925",35,227,3242
"33940",36,50,3681
"34112",40,8333,3699
"34117",40,4264,4032
"34227",38,30,1303
"34263",38,302,1363
"34357",36,226,2717
"34414",41,9281,4171
"34473",36,124,2640
"34501",37,2367,2577
"34580",39,115,1495
"34605",36,1010,3158
"34735",35,1010,3158
"34843",37,5214,2716
"34850",41,1781,4055
"34869",39,172,3316
"34956",38,174,1286
"34969",37,299,2625
"35080",36,121,2745
"35275",38,130,1466
"35357",36,105,2693
"35377",40,133,1266
"35393",38,90,1296
"35455",38,9,1531
"35502",38,204,1257
"35655",37,2522,3220
"35825",38,77,1268
"35834",37,3866,1832
"35864",40,441,500
"35977",39,463,431
"36020",40,560,1146
"36028",37,3465,2611
"36068",36,6385,3289
"36076",37,3402,2591
"36189",35,7127,3144
"36370",40,594,1083
"36397",37,4873,3243
"36426",36,3377,3181
"36525",40,27,1438
"36591",36,3553,3156
"36754",36,4748,2620
"36801",40,614,1229
"36812",36,3425,2596
"36835",35,224,3303
"36841",36,3518,3228
"36919",41,556,1188
"36955",36,224,3303
"36975",35,6510,3331
"36975",38,167,3226
"37099",38,72,3673
"37143",35,1435,3171
"37209",35,7930,3295
"37279",35,197,3206
"37335",39,147,1431
"37351",38,295,1448
"37498",38,262,1357
"37534",37,3371,1675
"37587",35,7101,3138
"37596",40,201,1262
"37602",36,247,2732
"37609",36,4252,3112
"37622",39,250,557
"37635",36,259,2524
"37635",41,451,561
"37711",37,4022,1571
"37723",35,4324,3134
"37736",38,307,1529
"37838",37,78,1636
"37889",41,2,1243
"37928",35,2944,3336
"37985",38,133,1266
"38019",36,61,3176
"38068",35,4317,3130
"38117",35,106,3193
"38354",35,4887,3249
"38451",38,290,1536
"38592",36,3465,2611
"38600",35,2522,3220
"38702",38,246,1528
"38908",35,7902,3290
"38919",41,559,941
"38929",35,273,3151
"39072",37,120,1553
"39135",41,133,1266
"39299",36,2677,2670
"39390",40,129,1426
"39473",40,159,1479
"39489",39,36,1469
"39541",38,304,1417
"39603",38,2182,3117
"39604",36,5063,2687
"39618",38,2684,1465
"39635",37,24,2631
"39636",38,11,1434
"39860",38,112,3306
"40037",40,592,1194
"40113",40,8347,3702
"40178",38,276,1338
"40291",35,7765,3255
"40475",38,233,1394
"40485",37,5266,3325
"40575",38,160,1499
"40616",35,127,3197
"40665",36,5057,3684
"40676",35,3518,3228
"40709",36,4566,3185
"40736",36,5784,2537
"40826",36,3325,2585
"40860",38,28,1308
"40922",35,5818,3141
"41063",38,268,1304
"41078",35,6106,3215
"41084",38,169,1464
"41096",36,3845,2729
"41135",36,1677,2600
"41142",36,6347,3278
"41146",36,2182,3117
"41170",36,68,2668
"41200",36,144,2702
"41418",36,24,2631
"41427",41,1837,4132
"41435",37,2241,3139
"41459",36,241,2587
"41528",35,5621,3103
"41541",37,4233,1605
"41567",38,43,1541
"41656",39,281,1401
"41718",41,1813,4095
"41720",37,3097,1586
"41997",37,109,3102
"42015",39,462,615
"42033",37,4434,3155
"42076",38,284,1261
"42252",40,113,1416
"42287",40,583,969
"42291",40,609,1156
"42505",40,610,1023
"42557",39,249,1399
"42687",39,133,1266
"42688",39,230,3273
"42788",40,150,3225
"42807",35,298,3167
"42885",36,47,2607
"42935",35,3325,3170
"42955",35,7431,3200
"43104",40,175,1276
"43148",38,23,1507
"43257",35,7761,3254
"43331",38,166,1314
"43356",36,280,2588
"43411",40,87,1371
"43494",38,2664,1459
"43564",35,4823,3233
"43581",40,88,1350
"43605",38,65,1373
"43867",39,120,1246
"43871",38,95,1293
"43929",39,128,1511
"43942",35,299,3224
"43954",35,5685,3109
"43966",41,8628,4069
"44109",38,29,1513
"44156",37,273,2551
"44160",37,2913,1838
"44178",40,552,938
"44180",36,4022,3077
"44289",37,131,1547
"44419",40,217,528
"44432",37,2677,2670
"44480",39,431,448
"44561",38,1951,1245
"44687",36,5083,3288
"44720",38,187,3285
"44812",38,6,1250
"44834",38,197,1414
"44920",37,3600,1790
"45057",41,104,414
"45078",40,606,1213
"45078",35,5813,3140
"45102",35,3363,3157
"45194",35,8116,3330
"45356",39,166,1314
"45509",38,209,1450
"45615",36,21,3687
"45639",39,100,1645
"45661",40,78,1331
"45666",38,113,1416
"45744",41,9265,4163
"45813",41,126,1271
"45879",35,7971,3302
"45903",39,124,1435
"45961",40,236,543
"45981",35,6481,3263
"45985",37,3246,3652
"46076",36,4458,3162
"46184",39,285,592
"46294",35,3415,3189
"46326",35,5740,3123
"46458",38,1772,1472
"46517",37,133,1588
"46702",37,72,3673
"46712",37,3337,2566
"46772",38,94,1483
"46814",39,46,1383
"46946",36,5526,2483
"46980",38,104,1300
"47175",41,9258,4161
"47286",36,18,3194
"47434",40,290,1536
"47435",37,247,2732
"47494",41,9087,4122
"47501",39,149,2538
"47542",35,4434,3155
"47571",36,4718,2614
"47574",37,105,2693
"47634",38,3175,2509
"47660",39,290,1536
"47708",40,451,561
"47790",36,1951,2460
"47810",36,4233,2508
"47870",37,7,1550
"47880",41,207,517
"47891",38,243,1382
"47961",40,136,1288
"48004",36,252,2710
"48061",35,242,3148
"48078",41,8521,4046
"48082",39,6,1250
"48095",38,2379,1374
"48157",35,7582,3223
"48202",37,209,1753
"48232",40,257,564
"48529",38,80,2499
"48576",35,4743,3217
"48639",36,3204,2517
"48731",38,124,1435
"48770",40,46,1383
"48859",38,287,1306
"48910",38,2502,3214
"48918",35,6281,3257
"49009",38,96,3253
"49093",36,4743,3217
"49291",40,120,1246
"49553",39,448,534
"49576",40,565,1021
"49602",40,121,2745
"49638",35,96,3253
"49650",35,280,3239
"49690",36,3750,2658
"49765",40,410,357
"49833",36,6475,3322
"49923",36,227,3242
"49951",36,120,2456
"49996",40,556,1188
"50119",39,398,313
"50177",35,308,3125
"50195",40,296,1538
"50215",36,167,3226
"50275",39,436,482
"50329",37,260,3671
"50406",35,5142,3301
"50674",36,3160,3106
"50829",36,128,3286
"50881",35,7817,3269
"51288",35,2111,3075
"51341",40,73,381
"51444",38,252,2710
"51575",41,150,3225
"51693",39,38,1468
"51726",35,3204,3115
"51796",35,77,3079
"51801",39,159,1479
"51976",41,122,1353
"52017",37,4478,3166
"52153",39,99,1249
"52161",36,4682,3209
"52225",40,413,362
"52398",35,3482,3216
"52403",35,184,3232
"52424",41,560,1146
"52471",36,89,3686
"52630",35,259,3124
"52631",38,208,1283
"52666",35,921,3293
"52759",36,3097,3092
"52820",36,296,2744
"52849",38,155,1539
"52865",39,252,2710
"53027",38,119,2521
"53092",38,300,1275
"53138",37,197,2618
"53351",40,590,1233
"53357",35,4206,3105
"53500",36,1698,3229
"53522",38,173,1534
"53663",40,137,1284
"53751",39,170,477
"53780",40,16,1391
"53783",36,2693,2676
"53883",40,547,897
"53947",40,563,1161
"54023",38,212,1396
"54040",40,558,1084
"54073",35,7122,3143
"54210",38,25,1258
"54384",37,307,1831
"54409",39,428,429
"54571",37,3553,1739
"54587",40,404,337
"54722",37,4501,3172
"54781",40,90,1296
"54787",37,4303,1622
"54807",37,138,1576
"54854",38,1738,2659
"55019",35,4233,3120
"55036",36,4675,3208
"55106",41,136,1288
"55119",37,4743,3217
"55140",39,72,3673
"55192",36,6354,3279
"55407",36,4342,2536
"55488",40,36,1469
"55645",40,611,1173
"55721",41,8589,4061
"55745",36,4321,2530
"55945",35,7553,3218
"55972",40,569,1059
"55981",40,398,313
"56175",35,1738,3313
"56457",38,165,1436
"56511",39,248,1474
"56609",39,413,362
"56624",40,94,403
"56761",36,246,2733
"56807",35,7571,3221
"56841",39,181,1439
"56953",37,18,3194
"56987",41,442,518
"56989",39,89,3686
"57009",35,6897,3100
"57011",37,2693,1774
"57033",39,156,1517
"57066",40,43,1541
"57078",36,96,3253
"57088",35,61,3176
"57115",39,90,1296
"57209",36,6299,2667
"57300",37,4818,2635
"57313",40,407,343
"57380",39,343,510
"57389",35,6324,3271
"57413",40,148,454
"57555",38,838,1400
"57665",39,50,3681
"57765",37,2182,3117
"57797",39,409,351
"57805",35,4566,3185
"57862",40,246,1528
"57893",37,2293,2552
"57951",41,606,1213
"58060",39,224,3303
"58113",37,2773,1794
"58132",35,5327,3337
"58164",35,6385,3289
"58398",38,2831,1503
"58488",36,5349,2747
"58571",36,131,3053
"58604",35,18,3194
"58731",36,5724,3118
"58762",38,99,1249
"58806",41,410,357
"58821",36,3899,3049
"58831",36,4249,2511
"58859",37,5258,3323
"59075",37,1677,2600
"59125",38,3094,1279
"59146",40,458,601
"59158",35,2241,3139
"59285",37,842,2712
"59459",40,561,1227
"59567",39,265,571
"59584",35,3899,3049
"59611",35,4675,3208
"59614",35,181,3169
"59680",40,617,1226
"59702",39,30,1303
"59724",36,4983,3267
"59818",40,418,388
"59862",41,166,1314
"59956",39,259,2524
"59975",38,135,1329
"60173",41,8555,4052
"60216",38,201,1262
"60259",39,47,2607
"60471",40,170,477
"60542",35,3410,3195
"60569",39,256,1535
"60636",36,2913,2741
"60692",36,5751,2526
"60733",39,457,598
"60761",36,77,2475
"60794",35,6237,3244
"60817",39,441,500
"60820",38,261,1264
"60855",39,148,454
"60880",38,75,1287
"61031",35,124,3219
"61074",40,166,1314
"61093",41,424,410
"61114",37,41,1824
"61128",40,100,1645
"61222",40,575,1121
"61386",39,52,3222
"61425",36,116,3311
"61602",36,2684,2673
"61813",41,441,500
"61850",35,167,3226
"61878",39,44,1336
"61881",41,8846,4112
"62051",36,4818,2635
"62062",41,291,1299
"62218",36,304,2606
"62318",35,5083,3288
"62411",37,288,1749
"62460",36,3028,3072
"62483",37,181,2570
"62493",41,425,413
"62626",38,188,1419
"62630",39,83,1482
"62652",40,128,1511
"62709",40,428,429
"62973",41,602,967
"62982",40,571,949
"63007",37,21,3687
"63041",36,5546,2487
"63076",40,564,1234
"63084",40,570,1015
"63203",35,3097,3092
"63234",38,239,1248
"63281",39,113,1416
"63362",38,121,2745
"63383",37,3985,1562
"63706",39,121,2745
"63722",37,3614,1761
"63881",37,53,3677
"64414",39,437,487
"64439",38,172,3316
"64456",39,226,1811
"64459",39,163,1429
"64495",40,426,417
"64550",41,548,686
"64658",37,3874,1836
"64709",40,588,1054
"64784",41,9255,4156
"64845",35,5321,3333
"64975",38,269,1255
"65010",38,81,1282
"65183",38,74,1277
"65294",40,579,1167
"65411",39,98,406
"65487",35,3281,3145
"65529",35,6264,3252
"65620",39,426,417
"65688",37,3750,1755
"65698",37,4028,1572
"65814",35,5795,3142
"65997",38,236,1237
"66226",40,419,391
"66357",40,72,3673
"66470",35,8188,3343
"66709",40,580,1102
"66856",38,192,2543
"66965",39,410,357
"67015",39,284,1261
"67078",40,198,1473
"67105",40,431,448
"67112",38,832,1333
